title,word_count,character_count,bigrams,lemma,pos,tag,dep,label,context_score,trigger_words,category
Battle of Salis,3,15,"[('Battle', 'of'), ('of', 'Salis')]","['battle', 'of', 'Salis']","['NOUN', 'ADP', 'PROPN']","['NN', 'IN', 'NNP']","['ROOT', 'prep', 'pobj']","['', '', '']","{'battle': 1.0, 'salis': 0.008540730727941325}","['battle', 'salis']",politics
Battle of Sudoměř,3,17,"[('Battle', 'of'), ('of', 'Sudoměř')]","['battle', 'of', 'Sudoměř']","['NOUN', 'ADP', 'PROPN']","['NN', 'IN', 'NNP']","['ROOT', 'prep', 'pobj']","['WORK_OF_ART', 'WORK_OF_ART', 'WORK_OF_ART']","{'battle': 1.0, 'sudoměř': 0.008540730727941325}","['battle', 'sudoměř']",politics
Texxas Jam,2,10,"[('Texxas', 'Jam')]","['Texxas', 'Jam']","['PROPN', 'PROPN']","['NNP', 'NNP']","['compound', 'ROOT']","['PERSON', 'PERSON']","{'texxas': 0.2043111942133731, 'jam': 1.0}","['texxas', 'jam']",business
Territorial era of Minnesota,4,28,"[('Territorial', 'era'), ('era', 'of'), ('of', 'Minnesota')]","['territorial', 'era', 'of', 'Minnesota']","['ADJ', 'NOUN', 'ADP', 'PROPN']","['JJ', 'NN', 'IN', 'NNP']","['amod', 'ROOT', 'prep', 'pobj']","['', '', '', 'GPE']","{'territorial': 0.4708947929883977, 'era': 0.4708947929883977, 'minnesota': 1.0}","['territorial', 'era', 'minnesota']",sports
Death of Joy Gardner,4,20,"[('Death', 'of'), ('of', 'Joy'), ('Joy', 'Gardner')]","['death', 'of', 'Joy', 'Gardner']","['NOUN', 'ADP', 'PROPN', 'PROPN']","['NN', 'IN', 'NNP', 'NNP']","['ROOT', 'prep', 'compound', 'pobj']","['', '', 'PERSON', 'PERSON']","{'death': 1.0, 'joy': 0.11603765993719264, 'gardner': 0.05033710963649467}","['death', 'joy', 'gardner']",crime
Air France Flight 117,4,21,"[('Air', 'France'), ('France', 'Flight'), ('Flight', '117')]","['Air', 'France', 'Flight', '117']","['PROPN', 'PROPN', 'PROPN', 'NUM']","['NNP', 'NNP', 'NNP', 'CD']","['compound', 'compound', 'ROOT', 'nummod']","['ORG', 'ORG', 'ORG', 'ORG']","{'air_france': 0.27335544189333427, 'flight': 1.0}","['air_france', 'flight']",travel
Aeroflot Flight 821,3,19,"[('Aeroflot', 'Flight'), ('Flight', '821')]","['Aeroflot', 'Flight', '821']","['PROPN', 'PROPN', 'NUM']","['NNP', 'NNP', 'CD']","['compound', 'ROOT', 'nummod']","['ORG', 'PRODUCT', 'PRODUCT']","{'aeroflot': 0.05707612382692333, 'flight': 1.0}","['aeroflot', 'flight']",travel
West Virginia coal wars,4,23,"[('West', 'Virginia'), ('Virginia', 'coal'), ('coal', 'wars')]","['West', 'Virginia', 'coal', 'war']","['PROPN', 'PROPN', 'NOUN', 'NOUN']","['NNP', 'NNP', 'NN', 'NNS']","['compound', 'compound', 'compound', 'ROOT']","['GPE', 'GPE', '', '']","{'west_virginia': 0.18076028934447536, 'coal': 0.07554653815259808, 'wars': 1.0}","['west_virginia', 'coal', 'wars']",politics
Nine Years' War,3,15,"[('Nine', 'Years'), ('Years', ""'""), (""'"", 'War')]","['nine', 'year', 'war']","['NUM', 'NOUN', 'NOUN']","['CD', 'NNS', 'NN']","['nummod', 'poss', 'ROOT']","['DATE', 'DATE', 'DATE']","{'years': 0.06254327318214446, 'war': 1.0}","['years', 'war']",politics
Liverpool F.C. 4–3 Newcastle United F.C. (1996),7,47,"[('Liverpool', 'F.C'), ('F.C', '.'), ('.', '4–3'), ('4–3', 'Newcastle'), ('Newcastle', 'United'), ('United', 'F.C'), ('F.C', '.'), ('.', '('), ('(', '1996'), ('1996', ')')]","['Liverpool', 'F.C.', '4–3', 'Newcastle', 'United', 'F.C.', '1996']","['PROPN', 'PROPN', 'NUM', 'PROPN', 'PROPN', 'PROPN', 'NUM']","['NNP', 'NNP', 'CD', 'NNP', 'NNP', 'NNP', 'CD']","['compound', 'compound', 'ROOT', 'compound', 'compound', 'appos', 'appos']","['ORG', 'ORG', 'ORG', '', '', '', 'DATE']","{'liverpool': 0.25467217942769516, 'f.c': 0.0, 'newcastle': 0.14340072571464144, 'united': 1.0}","['liverpool', 'f.c', 'newcastle', 'united', 'f.c']",international
